bat	flyst.	alt	vx	vy	vz	theta	phi	psi	px	py
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
33	0	0	0	0	0	0	1	-53	0	0
